"mmsi","Min","Max","Mean","Std. deviation","Variance","Skewness","Kurtosis"
"209204000",0.0,20.0,13.189507767271774,6.179538970704786,38.18670189045916,-0.8368831813200146,-0.36902014201222627
"209350000",0.0,17.399999618530273,12.915003216758869,4.427489394579881,19.602662339117323,-1.959633033129784,2.937810611276636
"210248000",9.800000190734863,17.799999237060547,15.324071848749409,1.6693549847991638,2.7867460652738165,-2.0206970955998163,3.5913456008101377
"210521000",6.199999809265136,16.399999618530273,13.566365276926467,1.89546463304165,3.592786175111717,-1.7657459290193447,3.244542770787254
"211228200",0.0,11.300000190734865,8.895652137785094,3.182357869933412,10.127401612327123,-2.0625469709874404,2.8219922577454555
"211234480",9.699999809265137,20.299999237060547,15.592768407198877,2.491884230008967,6.209487015767383,-0.6588420532903821,-0.9116320071767751
"211280810",11.399999618530273,16.5,14.735581028402912,0.7117183295557029,0.5065429806255601,-1.7494222923584128,5.477703125303544
"211333700",6.699999809265137,8.899999618530275,7.990187927676141,0.3469649648379526,0.12038468682500167,-0.05505758659527977,0.43345835357057877
"211378370",3.0999999046325684,15.199999809265138,11.05545242313995,3.614976818561723,13.068057398738635,-1.0182583867610526,-0.2378170804012092
"211379750",3.700000047683716,17.899999618530273,16.058301876625933,2.4180748146928996,5.8470858094521,-3.7803999461827513,14.644383962283118
"211523910",0.0,14.800000190734865,10.719364313806754,2.797050205172748,7.823489850256912,-2.110282635338317,5.694834057617123
"211553630",0.0,17.799999237060547,7.461803709342089,4.695269789683274,22.045558397912412,-0.3162902440428547,-0.8909853272997975
"212018000",0.0,16.700000762939453,6.545334331059235,6.598197847203297,43.53621483083822,0.30103308051937205,-1.6824122320507027
"212048000",6.900000095367432,16.0,9.937999992370607,2.171197146969363,4.714097051007902,1.5010490376989916,2.401676870583494
"212185000",3.5,18.0,14.992276467443462,2.5086999525871705,6.293575452110872,-0.966705537050999,0.18192798588205591
"212357000",0.0,16.700000762939453,11.596434011173555,5.467108349737599,29.889273707770577,-1.3220445025150758,0.25390026101975793
"212436000",8.100000381469727,16.299999237060547,13.463727971468533,2.1168497595621387,4.481052904558285,-1.1725981559575662,0.3037176220220033
"212748000",0.0,16.100000381469727,10.051960153397433,5.00381369806656,25.038151524958543,-0.8370155392409128,-0.6013637890460005
"218172000",0.0,14.399999618530275,10.230230540677022,2.7997353330854504,7.838517935327099,-1.4736365986334046,2.6410595613360233
"218783000",0.0,102.30000305175781,10.07514285503753,8.410551030125275,70.73736863034131,6.393503597687073,70.01046383535488
"218816000",0.0,19.299999237060547,11.85303187241276,3.508447911245,12.309206745919406,-2.252796732213855,5.163752169063797
"219252000",0.2000000029802322,16.399999618530273,12.698435112435858,3.4511351100729666,11.910333547978347,-2.1127532674143077,5.13124959621957
"219291000",0.10000000149011613,15.899999618530273,10.014357421405064,4.993978745959538,24.939823715095596,-0.946130440345442,-0.7019546114031593
"219631000",4.900000095367432,18.0,11.36275665079054,4.337528319809653,18.814151925150753,0.047747187069719164,-1.5647008474358899
"228020700",5.199999809265137,20.29999923706055,14.297939476062034,2.3359898742252603,5.456848692482947,-1.5742085263859538,4.673818447755212
"228067900",7.599999904632568,20.799999237060547,14.750582041563826,4.214185141266884,17.759356404874588,-0.3588222218123543,-1.032755064883425
"228315600",0.0,19.0,11.691533336867915,5.532056033799105,30.60364396109308,-0.8281771992416943,-0.18782503406187073
"229449000",6.300000190734863,13.399999618530275,10.470975608360474,0.944116556119712,0.8913560715393454,0.3337538466367735,5.147071924006147
"229972000",8.0,17.399999618530273,15.493989982668664,1.080055093424049,1.1665190048312313,-1.0916293454229424,4.2450164955937195
"235113664",4.199999809265137,102.30000305175783,15.93927422293736,27.59741797241145,761.6174787439785,2.815114051517367,5.959922772255789
"236111978",0.0,17.799999237060547,12.7474811069306,5.716093033275048,32.67371956505554,-1.5134330267935188,0.6486273247021805
"236481000",6.099999904632568,21.200000762939453,16.74286457610115,2.1059032216571203,4.434828378985838,-0.5018955909860974,1.7259886784577507
"236511000",3.2999999523162837,15.000000000000002,8.745994175253172,2.6426804419403687,6.983759918214143,0.5853886402339153,-0.45502283555932
"236529000",0.0,102.30000305175781,8.76516447723353,6.12679619350873,37.53763159679306,3.32481284314846,51.87128309877107
"236669000",0.0,16.100000381469727,10.712530505448655,4.110898264306459,16.899484539477857,-1.4502693430142004,1.4103597658649016
"236691000",8.899999618530273,20.700000762939453,18.34278300197201,2.9081713792432007,8.4574607710493,-1.5068009337585917,0.7420752305006278
"241209000",0.10000000149011612,14.699999809265138,5.947501424790989,4.792850137277276,22.971412438398804,0.17848055817332772,-1.7938871322091998
"244010945",4.800000190734863,14.899999618530275,11.802463519747223,2.0219171887924694,4.088149118334443,-0.25080825304841303,-0.13860621497827366
"244847000",6.900000095367432,13.100000381469728,10.47988930443556,1.3001745657450567,1.690453901410347,0.22289181496989635,-0.5278480913299552
"244874000",0.0,20.0,14.899903576562425,4.997632831032665,24.97633391381557,-1.9562309607100963,3.177276052656018
"244900091",0.0,19.10000038146973,14.39227469388395,4.615461838434484,21.302487982045033,-1.9613091110500807,3.4827345758999226
"246169000",5.199999809265137,10.699999809265137,8.514043075542572,1.4982340487786354,2.2447052649196224,-0.5071427555301014,-0.8728143541882525
"246191000",0.0,15.399999618530273,10.846757888776208,3.025200183181954,9.151836148324128,-0.7598535059942261,1.1008608450298498
"247082500",7.0,17.100000381469727,15.339404159747465,1.4707741184875902,2.163176507612948,-2.674965936484427,9.477761701437869
"247341900",4.400000095367432,20.29999923706055,15.48497857147021,3.6518709049409575,13.336161106354288,-0.47302152945879655,-0.7831667238208008
"247346000",4.400000095367432,13.300000190734863,11.162775312401283,1.0460529520583488,1.0942267785099862,-0.3104667437441461,1.0137881443382952
"247353800",9.300000190734863,19.100000381469727,15.893240996807208,2.009439659868873,4.037847746653932,-0.6252475085369806,0.051154658885870105
"247355500",0.30000001192092896,14.800000190734865,5.52712194577224,4.71958448443204,22.27447770569164,0.9172120478983437,-0.7986403352494142
"249210000",5.099999904632568,14.699999809265138,12.00385513595333,1.6649188331072229,2.771954720835117,-1.7243228933179084,4.1397649322281085
"249232000",9.600000381469725,16.0,13.848377116496629,1.323092404734941,1.750573511467289,-0.1899431976355176,-0.8756333434420539
"249515000",8.0,18.79999923706055,15.90175801447782,2.2504783879613193,5.064652974680977,-1.3061615688749715,1.7429399589068248
"253418000",2.4999999999999996,14.300000190734865,11.978021425694275,1.6958087343882173,2.8757672636273672,-1.735479675445989,4.532442551985285
"255623000",7.199999809265137,15.800000190734865,14.804530741134505,1.0782063901490704,1.1625290197582896,-3.9853812443775842,18.019458290415834
"255801670",2.799999952316284,13.800000190734863,11.322252208930912,1.2788019601445915,1.6353344532696494,-1.935872327150843,8.350682681102715
"255803990",5.5,13.399999618530275,10.67143708503175,1.1396097148734208,1.2987103022338793,-0.5046262553927354,1.4464278427300394
"255805620",10.600000381469727,14.199999809265138,12.826089850190133,0.9500337349216644,0.9025640974892073,-0.11796638329166609,-1.3704386242603979
"255805696",8.5,16.700000762939457,13.066064662353178,3.0311787191788873,9.18804442760296,-0.1857791588179468,-1.5843475854310978
"255805845",4.599999904632568,17.600000381469727,14.392555249412979,1.765946016553266,3.118565333380348,-2.4283577861502534,8.825178361881354
"255805883",6.000000000000001,18.299999237060547,14.392050859343145,2.4590431159606436,6.046893046153432,-0.3837307872670911,-0.24572513966772858
"255805897",0.0,19.700000762939457,14.654367750420686,2.4564970172529006,6.034377595772397,-0.2850357855569412,1.471103548696384
"256173000",8.699999809265137,15.199999809265135,13.319999996532099,1.55117099968239,2.406131470255665,-1.643019646060166,1.9454982899765345
"256974000",7.800000190734863,14.5,10.624055431426182,1.2395631188455223,1.5365167256020382,0.8558242999109447,1.0686175164226028
"257081000",0.0,15.000000000000002,11.899894176336835,3.641790455467718,13.26263772153577,-2.3140653661325143,4.29223336961832
"259468000",7.599999904632569,16.700000762939453,15.185893862940096,1.387886862867569,1.9262299441203823,-2.7135258332469294,7.851956560621391
"271042019",0.20000000298023224,102.30000305175781,9.819021247196634,3.7852555558620806,14.32815962318475,13.052865935043547,329.2135360186276
"304050636",9.899999618530275,18.700000762939453,15.759096330468083,2.028098136310443,4.113182050505892,-0.3359576059829921,-0.90499534360656
"304586000",8.199999809265137,14.699999809265138,13.647465438886714,0.580494125205997,0.33697342939867575,-4.019624630955294,23.864231627820384
"304669000",5.0,10.300000190734865,8.033856460331812,1.7848058309624724,3.185531854237641,-0.20810567843466166,-1.5833265354498467
"304771000",0.0,17.100000381469727,11.998275850953025,5.8226756801095085,33.90355207573873,-1.3355464063227749,0.167404726509921
"304936000",6.199999809265137,12.100000381469728,9.791780880052753,1.169291384883951,1.3672423427638283,-0.22991746526372234,-0.4370873502754982
"304955000",2.5,13.899999618530275,8.900761440320665,3.633264291361151,13.200609410880046,-0.5425901673916576,-1.3118516456745348
"305690000",8.800000190734863,13.800000190734865,10.65338891837844,1.3246839516393312,1.754787571730794,0.5649273766815922,-0.7790324585367793
"305741000",0.0,20.200000762939457,14.910440110989466,4.2567585530046035,18.119993378577846,-1.656045840255375,3.6934119010235875
"305808000",7.5,14.699999809265137,11.772023826420185,2.037949456465794,4.153237987109225,-0.7158639171027418,-0.9075507948296473
"305816000",5.300000190734863,19.10000038146973,17.162626363498326,1.9381334716137335,3.7563613537895026,-3.1978392924731374,13.43489135669065
"305836000",2.700000047683716,10.300000190734863,7.909324747189826,2.2195196595187467,4.926267518990214,-1.29136326778179,0.4658264255918134
"308090000",8.199999809265137,20.600000381469727,17.733780229379278,1.9740755490065662,3.896974273185576,-2.1740903899297614,7.563785178150391
"310133000",4.599999904632568,17.600000381469727,14.75657892854591,2.1267162115680516,4.522921844546366,-1.2994790042608113,2.8380473311671985
"310398000",2.5,17.100000381469727,14.554684829926705,2.745134785493264,7.535764990525148,-1.6252795466637189,2.9533105519742353
"314415000",5.5,14.199999809265138,10.621504388429843,1.8831906792659792,3.5464071344742596,0.635938269775477,-0.7408596404588073
"352477000",6.300000190734863,13.199999809265137,10.443222861692126,1.3678620893170574,1.8710466953908254,-0.4176685832672116,-0.5526604906905331
"353594000",6.0,14.600000381469728,11.105034635230544,2.3527758127101883,5.535554024874088,-0.4014909150895158,-1.2187954280561324
"353764000",4.5,16.100000381469727,12.837251649523955,2.8281299338386385,7.998318922674141,-1.1589145337162612,0.33703537524431193
"353775000",0.0,21.100000381469727,11.7910897837999,6.912059011119669,47.77655977320062,-0.6596084344640937,-0.8893218205686786
"354505000",0.0,20.0,9.555424038028487,7.867993820852672,61.90532676497584,-0.1709037569519638,-1.7236496325503947
"354972000",1.7999999523162842,18.500000000000004,11.50827316513728,3.854556179734118,14.857603342726478,-0.19738697459807789,-0.03502177687438764
"354974000",0.0,13.500000000000002,9.496024025532854,3.77365104791672,14.24044223144296,-1.6460644215677152,1.4962078763038065
"355036000",9.100000381469727,16.200000762939453,14.51794459730338,1.4362274893659137,2.062749401210316,-2.019056985271833,4.086113813196686
"355443000",0.6000000238418579,16.399999618530273,12.763606754985332,3.17662219853186,10.090928592205387,-1.3069485238300507,1.2346992389427727
"370993000",1.8999999761581419,18.100000381469727,12.36350845064083,5.32292945375033,28.333577969602786,-0.8760899894287204,-0.7491064483676678
"372092000",9.699999809265138,18.0,16.126470589070767,1.4640954817396508,2.14357557965046,-2.329130773128249,5.131941094319494
"372736000",5.400000095367432,18.799999237060547,14.965229503302647,2.869979780646188,8.236783941317942,-1.080663553738107,1.025395964332616
"374815000",7.400000095367432,20.399999618530273,15.389716953021958,2.413274601794066,5.823894303664309,-0.5207127523853503,0.08055422662647185
"377764000",6.4000000953674325,10.800000190734863,8.869879186907914,0.842663872552892,0.7100824021058365,-0.43667391987363346,-0.5776828647262019
"431174000",3.799999952316284,14.000000000000002,10.878643218296855,2.2080461663192175,4.875467872596992,-1.5465939097097776,2.2043594535909246
"432657000",0.800000011920929,18.399999618530277,12.294215185574561,4.714744599475617,22.228816638284496,-1.2051447541310567,0.7231809413582613
"477066700",9.600000381469727,21.000000000000004,17.410394713827635,2.996555426273518,8.979344422729266,-0.7325476528985556,-0.40418220104751307
"477129300",7.699999809265136,22.899999618530277,17.676448486393674,3.349903734410252,11.221855029815753,-0.7481161868575393,0.3900611677771293
"477266900",4.099999904632568,16.200000762939453,12.688384332346867,1.581853640590154,2.502260940248324,-0.592442230667387,4.04978323254567
"477321000",4.800000190734864,15.300000190734862,11.229820634039335,2.0165187248161893,4.06634776753431,-0.19655990441949459,0.05235614789157079
"477427500",0.0,18.60000038146973,13.32423614589498,6.3580826619361535,40.42521513601312,-1.3047065524678916,0.10785774559900656
"477559200",0.0,26.79999923706055,11.542661425910884,5.555026158418801,30.85831562071715,-0.3258345208629959,0.44686973063633645
"477776200",6.900000095367431,102.30000305175781,16.614817441149814,7.6318537872984935,58.24519223070236,10.10167207197539,111.34956818877033
"477832500",3.0999999046325684,19.399999618530277,12.34355386078004,4.0498651114039586,16.401407420566997,0.1424747627085562,-1.1706169456477484
"477858700",7.300000190734863,19.5,16.708311106500293,3.329375712864251,11.084742637410338,-1.6050948878532714,1.574178227476133
"477967800",1.799999952316284,18.700000762939457,12.93679295764044,4.4510958301830525,19.812254089472955,-1.1344557475588428,0.5637637534356847
"538001512",0.0,14.800000190734863,10.029335945667428,4.711172933685964,22.19515041109521,-1.0775424586117865,-0.21400279098331207
"538003540",2.299999952316284,13.199999809265137,10.275609802182109,1.9370433482606009,3.752136933040639,-1.1503983020504307,2.130814383220581
"538004365",0.4000000059604644,14.800000190734865,8.651114840272276,4.755658436360017,22.616287163322202,-0.7435243994305313,-1.1154957975090765
"538005216",2.200000047683716,15.000000000000002,12.051024134187807,1.880188935995234,3.53511043503889,-0.6431890385834743,2.4555510253954735
"538005655",5.599999904632568,12.800000190734865,9.631462577248929,1.7576812143266778,3.0894432511969043,0.26937921956824984,-1.066494032586718
"538005733",8.399999618530275,15.800000190734865,12.07050147848963,1.488488382580756,2.215597665077875,0.7916033440670426,0.5758898749621033
"538006408",0.0,13.100000381469727,9.230385672367635,3.8429807788061017,14.768501266273152,-1.365739260730917,0.6755900817121807
"538090156",0.1000000014901161,17.299999237060547,12.975933820152669,3.0615832729522436,9.373292137220972,-2.0548580722964616,5.119072986353925
"538090400",0.0,19.399999618530277,11.949779005307516,5.56888244238234,31.012451657074294,-0.900467040261961,-0.5017929289511811
"538090451",4.0,14.000000000000002,10.402464647262613,1.4911744312680566,2.2236011844676122,0.7152471649084389,0.26971085422135654
"563377000",6.199999809265137,18.299999237060547,12.651135552428638,2.8628501309990804,8.195910872561452,-0.10739480784532861,-0.6979638739265319
"564716000",9.600000381469727,22.60000038146973,16.220848234076257,3.295774829814254,10.862131728837175,-0.10221035554154681,-0.5743215456193714
"566365000",0.0,13.399999618530275,9.212002585167424,3.9555450156931045,15.646336371174563,-0.8885803167813153,-0.41079958434123226
"605086013",0.0,14.000000000000002,11.110295718548702,2.921553462214261,8.535474632576136,-2.272743014927244,5.041892730916114
"636016951",6.599999904632569,18.29999923706055,15.684751789620586,2.3240384385597017,5.401154663903017,-1.953000909016652,3.4041768708514435
"636016979",6.699999809265137,16.5,12.238380289413582,1.6909051680119105,2.859160287209387,0.1317416186807999,0.33775217492215387
"636091001",4.199999809265137,16.399999618530277,13.234329126092458,2.420257348752214,5.857645634189097,-1.1199728300204568,1.0008512522125517
"636091125",7.199999809265137,16.200000762939457,13.232342041114908,2.140622495645584,4.582264668863928,-1.4458724778287673,1.4550125364951756
"636091507",5.599999904632568,16.799999237060547,13.72960326727384,2.4379443999837918,5.943572897412331,-1.2904628404524445,1.6681279810983884
"636092164",3.799999952316284,17.899999618530273,14.236315334233906,2.6063124179179002,6.792864419793052,-1.6150845270394314,3.0698479486356023
"636092395",2.5,19.500000000000004,14.475703067264622,3.4563714716468383,11.946503750014132,-0.27558962860918607,-1.0323276908408545
"636092764",10.300000190734865,102.30000305175781,15.625678672913416,2.9851341338697726,8.911025797194437,22.326832276369117,653.6141190270356
